Mois;Qualité;Territoire;Production totale;Consommation totale;Solde exportateur
0000-00;Données consolidées;Grand-Est;7296;3364;3876
0000-00;Données définitives;Nouvelle-Aquitaine;4523;3222;1300
0000-00;Données définitives;Auvergne-Rhône-Alpes;8890;5010;3658
0000-00;Données définitives;Bourgogne-Franche-Comté;152;1533;-1383
0000-00;Données définitives;Bretagne;197;1493;-1300
0000-00;Données définitives;Centre-Val de Loire;6346;1299;5047
0000-00;Données définitives;France;41255;34585;6011
0000-00;Données définitives;Ile-de-France;148;4902;-4753
0000-00;Données définitives;Occitanie;2398;2923;-688
0000-00;Données définitives;Normandie;5554;1924;3629
0000-00;Données définitives;Hauts-de-France;3637;3595;42
0000-00;Données définitives;PACA;1265;3206;-1941
0000-00;Données définitives;Pays-de-la-Loire;712;1930;-1217
2010-01;Données consolidées;France;56542;56342;-489
2010-02;Données consolidées;France;50406;48698;1008
2010-03;Données consolidées;France;51071;48294;2044
2010-04;Données consolidées;France;41693;38637;2484
2010-05;Données consolidées;France;39847;37284;2075
2010-06;Données consolidées;France;40217;34567;5187
2010-07;Données consolidées;France;41064;36031;4489
2010-08;Données consolidées;France;39499;33069;5796
2010-09;Données consolidées;France;39218;35104;3511
2010-10;Données consolidées;France;42116;40918;450
2010-11;Données consolidées;France;49444;46532;2212
2010-12;Données consolidées;France;58966;57600;685
2011-01;Données consolidées;France;58226;53873;3583
2011-02;Données consolidées;France;50392;45937;3795
2011-03;Données consolidées;France;50698;45543;4522
2011-04;Données consolidées;France;41028;35442;4984
2011-05;Données consolidées;France;41071;35107;5257
2011-06;Données consolidées;France;40353;33771;5968
2011-07;Données consolidées;France;40905;34204;6058
2011-08;Données consolidées;France;38497;32625;5211
2011-09;Données consolidées;France;38968;34230;4141
2011-10;Données consolidées;France;42435;37977;3719
2011-11;Données consolidées;France;46277;41837;3756
2011-12;Données consolidées;France;53647;48241;4732
2012-01;Données consolidées;France;57177;51086;5371
2012-02;Données consolidées;France;54419;54476;-715
2012-03;Données consolidées;France;48583;43156;4888
2012-04;Données consolidées;France;44192;40176;3447
2012-05;Données consolidées;France;40433;35257;4425
2012-06;Données consolidées;France;37518;33219;3648
2012-07;Données consolidées;France;37910;34141;3216
2012-08;Données consolidées;France;36339;32247;3561
2012-09;Données consolidées;France;38035;33269;4054
2012-10;Données consolidées;France;42987;38628;3625
2012-11;Données consolidées;France;49228;44260;4355
2012-12;Données consolidées;France;54715;49602;4367
2013-01;Données consolidées;Grand-Est;9924;0;0
2013-01;Données définitives;Nouvelle-Aquitaine;5644;0;0
2013-01;Données définitives;Auvergne-Rhône-Alpes;13119;0;0
2013-01;Données définitives;Bourgogne-Franche-Comté;403;0;0
2013-01;Données définitives;Bretagne;246;0;0
2013-01;Données définitives;Centre-Val de Loire;7965;0;
2013-01;Données définitives;France;57739;53619;3484
2013-01;Données définitives;Ile-de-France;870;0;
2013-01;Données définitives;Occitanie;3450;0;
2013-01;Données définitives;Normandie;8304;0;
2013-01;Données définitives;Hauts-de-France;4786;0;
2013-01;Données définitives;PACA;1941;0;
2013-01;Données définitives;Pays-de-la-Loire;933;0;
2013-02;Données consolidées;Grand-Est;9057;0;0
2013-02;Données définitives;Nouvelle-Aquitaine;5313;0;0
2013-02;Données définitives;Auvergne-Rhône-Alpes;11499;0;0
2013-02;Données définitives;Bourgogne-Franche-Comté;378;0;0
2013-02;Données définitives;Bretagne;241;0;0
2013-02;Données définitives;Centre-Val de Loire;7261;0;
2013-02;Données définitives;France;52257;49639;2132
2013-02;Données définitives;Ile-de-France;779;0;
2013-02;Données définitives;Occitanie;3491;0;
2013-02;Données définitives;Normandie;7152;0;
2013-02;Données définitives;Hauts-de-France;4072;0;
2013-02;Données définitives;PACA;1817;0;
2013-02;Données définitives;Pays-de-la-Loire;1046;0;
2013-03;Données consolidées;Grand-Est;9500;0;0
2013-03;Données définitives;Nouvelle-Aquitaine;5255;0;0
2013-03;Données définitives;Auvergne-Rhône-Alpes;11129;0;0
2013-03;Données définitives;Bourgogne-Franche-Comté;339;0;0
2013-03;Données définitives;Bretagne;249;0;0
2013-03;Données définitives;Centre-Val de Loire;7083;0;
2013-03;Données définitives;France;51882;49480;1733
2013-03;Données définitives;Ile-de-France;886;0;
2013-03;Données définitives;Occitanie;3648;0;
2013-03;Données définitives;Normandie;7126;0;
2013-03;Données définitives;Hauts-de-France;3669;0;
2013-03;Données définitives;PACA;1875;0;
2013-03;Données définitives;Pays-de-la-Loire;954;0;
2013-04;Données consolidées;Grand-Est;8815;0;0
2013-04;Données définitives;Nouvelle-Aquitaine;3548;0;0
2013-04;Données définitives;Auvergne-Rhône-Alpes;10532;0;0
2013-04;Données définitives;Bourgogne-Franche-Comté;178;0;0
2013-04;Données définitives;Bretagne;239;0;0
2013-04;Données définitives;Centre-Val de Loire;5652;0;
2013-04;Données définitives;France;44117;40292;3211
2013-04;Données définitives;Ile-de-France;291;0;
2013-04;Données définitives;Occitanie;3411;0;
2013-04;Données définitives;Normandie;5919;0;
2013-04;Données définitives;Hauts-de-France;2902;0;
2013-04;Données définitives;PACA;1873;0;
2013-04;Données définitives;Pays-de-la-Loire;609;0;
2013-05;Données consolidées;Grand-Est;8500;0;0
2013-05;Données définitives;Nouvelle-Aquitaine;3139;0;0
2013-05;Données définitives;Auvergne-Rhône-Alpes;11456;0;0
2013-05;Données définitives;Bourgogne-Franche-Comté;188;0;0
2013-05;Données définitives;Bretagne;186;0;0
